scp-1281,Safe,,alive electromagnetic event-featured extraterrestrial safe scp 
scp-1282,Euclid,,animal ectoentropic euclid humanoid leporine metamorphic predatory rewritable sapient scp sentient 
scp-1283,Safe,,appliance auditory cognitohazard electrical mind-affecting predictive safe scp transmission 
scp-1284,Euclid,area-12,alive euclid humanoid leporine memory-affecting mind-affecting moon scp self-repairing transfiguration 
scp-1285,Safe,site-45,hostile humanoid liquid neurological safe scp sculpture self-replicating toxic transfiguration wooden 
scp-1286,Keter,,artistic auditory autonomous keter sapient scp sentient 
scp-1287,Safe Neutralized,site-98,engraved indestructible memory-affecting neutralized safe scp stone structure transfiguration 
scp-1288,Safe,site-18,extradimensional glass historical portal safe scp spacetime temporal 
scp-1289,Euclid,,autonomous currency euclid metallic predictive scp 
scp-129,Keter,,biohazard contagion fungus keter rewrite scp species transfiguration 
scp-1290,Safe,,artifact electronic prometheus safe scp teleportation 
scp-1291,Euclid,,entropic euclid extradimensional game hallucination humanoid mind-affecting observational scp serpents-hand sport transfiguration visual 
scp-1292,Euclid,,contagion electronic euclid scp 
scp-1293,Euclid,,alive empathic euclid event-featured humanoid reproductive sapient scp sentient species 
scp-1294,Euclid,,alive animal euclid fungus mind-affecting predatory reproductive scp toxic vulpine 
scp-1295,Keter,,alive building humanoid keter mind-affecting sapient scp sentient transfiguration 
scp-1296,Anomalous Phenomenon,,alive animal esoteric-class scp teleportation transmission vehicle 
scp-1297,keter,,autonomous biological container featured k-class-scenario keter memory-affecting meta organic scp sentient temporal transfiguration 
scp-1298,Safe,,automaton humanoid safe scp 
scp-1299,Euclid,,artifact euclid intangible mind-affecting mobile scp 
scp-13,Safe,,artifact mind-affecting safe scp sensory 
scp-130,Euclid,,building document ectoentropic euclid scp 
scp-1300,Safe,,autonomous furniture medical safe scp transfiguration 
scp-1301,Safe,,acoustic auditory cognitohazard instrument mind-affecting musical safe scp vibration 
scp-1302,Safe,,electronic game probability safe scp 
scp-1303,Safe,,acoustic geological hallucination light location safe scp sensory 
scp-1304,euclid,,euclid humanoid narrative ritual scp uncontained 
scp-1305,Euclid,,alive animal carnivorous euclid predatory rewritable scp 
scp-1306,Safe-doctrina,,animal avian ectoentropic food safe scp telepathic 
scp-1307,Safe,site-18,electronic immobile mechanical safe scp tool 
scp-1308,Euclid,,autonomous biological euclid predatory scp sentient 
scp-1309,Euclid,,city euclid loop mind-affecting scp spacetime temporal 
scp-131,Safe,site-18,autonomous empathic safe scp sentient the-sculpture 
scp-1310,Euclid,,ectoentropic euclid location medical scp 
scp-1311,Euclid,,contagion euclid mind-affecting scp 
scp-1312,Safe,,building foundation-made humanoid location safe sapient scp sentient 
scp-1313,keter,,animal ectoentropic keter mathematical scp uncontained ursine 
scp-1314,Safe,,cognitohazard mathematical memetic memory-affecting physics safe scp visual 
scp-1315,Safe,site-14,ectoentropic electronic game media safe scp 
scp-1316,Euclid,,alive animal chaos-insurgency euclid feline scp sentient transmission 
scp-1317,Safe,site-77,addictive chemical factory rewritable safe scp 
scp-1318,Euclid,,alive animal euclid memory-affecting mind-affecting murine scp species 
scp-1319,Safe,,autonomous extremity humanoid safe sapient scp sentient 
scp-132,Safe,,glass polyhedral safe scp visual 
scp-1320,Euclid,,electromagnetic euclid humanoid light scp sentient 
scp-1321,Safe Neutralized,site-18,cognitohazard document hallucination horizon-initiative mind-affecting neutralized religious safe scp visual 
scp-1322,Keter,,extradimensional hostile humanoid keter portal scp spacetime 
scp-1323,Euclid,,euclid extradimensional humanoid location mind-affecting scp 
scp-1324,Safe,,autonomous computer featured safe sapient scp sentient 
scp-1325,Euclid,,alive animal biohazard euclid food ranine scp toxic 
scp-1326,Euclid,site-18,arachnid automaton clockwork document euclid media metamorphic narrative scp sentient swarm wanderers-library 
scp-1327,Safe,,document memory-affecting mind-affecting safe scp 
scp-1328,Euclid,,asci cognitohazard document euclid location memory-affecting mind-affecting rewritable scp teleportation visual 
scp-1329,Anomalous Location,,animal building euclid humanoid language scp sentient shark-punching-center 
scp-133,Safe,site-18,artifact ectoentropic factory rewrite safe scp 
scp-1330,Euclid,,artifact euclid extradimensional location scp spacetime 
scp-1331,Safe,,artifact auditory factory safe scp sensory telepathic 
scp-1332,Euclid,,contagion euclid liquid metallic mind-affecting scp transfiguration 
scp-1333,Safe,,computer metamorphic safe scp self-replicating transmission visual 
scp-1334,Euclid,,alive building euclid humanoid mathematical sapient scp sentient 
scp-1335,Safe,,acoustic document food portal safe scp spacetime 
scp-1336,Safe,,document featured knowledge metamorphic safe scp visual 
scp-1337,Safe Decommissioned Euclid,,1000 euclid hostile humanoid location sapient scp sentient 
scp-1338,Euclid,,alive euclid humanoid mark-kiryu medical plant sapient scp sentient transfiguration 
scp-1339,Safe,site-45,artifact mind-affecting safe scp 
scp-134,Safe,,alive humanoid ocular portal rewrite safe sapient scp sentient 
scp-1340,Safe,,alive animal aquatic electrical piscine prize-feature safe sapient scp selachian sentient 
scp-1341,Euclid,,container ectoentropic euclid glass plant rewritable scp simian 
scp-1342,Euclid,,audio auditory automaton euclid extraterrestrial future heimdall media paradox recording scp temporal visual 
scp-1343,Safe,site-14,container fire safe scp vehicle 
scp-1344,Safe,,clothing ocular safe scp sensory visual 
scp-1345,Euclid,,computer electronic euclid mind-affecting radioactive scp structure transmission 
scp-1346,Safe,,auditory building compulsion hallucination location safe scp 
scp-1347,Euclid,,container ectoentropic euclid predictive rewrite sapient scp sentient 
scp-1348,Keter,,artistic geological humanoid keter location memetic mind-affecting radioactive religious ritual scp 
scp-1349,Euclid,,alive euclid insect parasitic scp toxic transfiguration 
scp-135,Euclid,,biohazard biological euclid humanoid indestructible medical scp self-repairing sentient transfiguration 
scp-1350,Keter,,autonomous intangible keter light mobile scp 
scp-1351,Euclid,,euclid geological gravity location physics scp spacetime subterranean temporal 
scp-1352,Euclid,,amorphous autonomous euclid meteorological scp sentient 
scp-1353,Euclid,,arthropod artifact autonomous empathic euclid kindness nocturnal scp sensory sleep species tactile 
scp-1354,Safe,,ectoentropic food safe sapient scp sentient thermal 
scp-1355,Euclid,,auditory building cognitohazard euclid mark-kiryu musical scp transfiguration 
scp-1356,Safe,,aquatic extradimensional indestructible safe scp toy 
scp-1357,Safe,,game location mind-affecting safe scp 
scp-1358,Euclid,,autonomous euclid humanoid light location scp 
scp-1359,Euclid,,alive cognitohazard euclid humanoid mind-affecting sapient scp sentient visual 
scp-136,Euclid,,cognitohazard euclid metamorphic mind-affecting scp self-repairing toy visual 
scp-1360,Euclid,site-18,anderson automaton euclid hostile humanoid scp self-repairing sentient twisted-pines 
scp-1361,Safe,,addictive alive amorphous food olfactory safe scp self-replicating 
scp-1362,Euclid,,ectoentropic euclid gaseous hive-mind humanoid location rewritable scp sentient transmission 
scp-1363,euclid,,euclid mind-affecting scp virus 
scp-1364,Safe,,adaptive animal biological safe scp 
scp-1365,Safe,site-65,autonomous inscribed safe scp self-repairing teleportation vehicle 
scp-1366,Euclid,,autonomous building ectoentropic engraved euclid predictive scp 
scp-1367,Safe,,acoustic airborne artifact autonomous empathic safe scp 
scp-1368,Keter,,alive humanoid keter parasitic sapient scp self-replicating sentient species 
scp-1369,Euclid,,alive auditory compulsion euclid humanoid liquid scp transfiguration 
scp-137,Euclid,site-18,autonomous co-authored euclid metamorphic scp toy 
scp-1370,Safe,,automaton hostile safe sapient scp sentient 
scp-1371,Safe,site-17,airborne alive animal safe scp 
scp-1372,Keter,,compulsion featured hallucination keter location mind-affecting scp spacetime 
scp-1373,Euclid,,alive animal dr-wondertainment euclid piscine rewrite scp selachian 
scp-1374,Keter,site-19,contagion ectoentropic global-occult-coalition inscription keter location marshall-carter-and-dark sapient scp sentient 
scp-1375,Euclid,,euclid extraterrestrial language portal scp spacetime structure subterranean 
scp-1376,Safe,site-18,acoustic electronic knowledge narrative safe scp tool 
scp-1377,Euclid,site-19,automaton biological euclid humanoid scp 
scp-1378,Euclid Neutralized,,animal auditory building euclid extradimensional fire hallucination neutralized scp thermal visual 
scp-1379,Safe,site-18,artistic mind-affecting safe scp 
scp-138,Safe,,alive humanoid indestructible safe sapient scp sentient 
scp-1380,Euclid,,artifact building euclid location scp spacetime teleportation 
scp-1381,Euclid,,euclid feline furniture scp transfiguration 
scp-1382,Euclid,,airborne artifact euclid humanoid location loop reanimation scp skeletal transmission vehicle 
scp-1383,Euclid,,euclid infohazard location meta ritual scp 
scp-1384,Euclid,,ectoentropic euclid game humanoid indestructible ontokinetic sapient scp sentient temporal 
scp-1385,Safe,,animal arthropod ectoentropic jewelry plant safe scp stone telekinetic 
scp-1386,Euclid,,autonomous empathic euclid scp sentient vehicle 
scp-1387,Euclid,,airborne alive animal avian euclid featured mind-affecting scp sensory transfiguration vehicle visual 
scp-1388,Safe,site-19,clothing metamorphic mind-affecting safe scp 
scp-1389,Safe,,alive artistic humanoid religious safe sapient scp sentient 
scp-139,esoteric-class,,cadaver esoteric-class humanoid infohazard meta ocular reanimation scp 
scp-1390,Euclid,site-65,euclid infohazard language memetic scp 
scp-1391,Safe,,ectoentropic location safe scp sculpture stone 
scp-1392,Safe,,instrument medical safe scp 
scp-1393,Euclid,,alive euclid extradimensional humanoid portal sapient scp sentient 
scp-1394,safe,site-18,liquid rewrite safe scp sensory sleep tool 
scp-1395,Euclid,,euclid geological humanoid intangible location mind-affecting sapient scp sentient subterranean 
scp-1396,Euclid,,autonomous euclid extraterrestrial foundation-made future sapient satellite scp sentient transmission weapon 
scp-1397,Safe,,artistic document memory-affecting mind-affecting safe scp sleep 
scp-1398,Safe,,acoustic auditory cognitohazard media mind-affecting musical recording safe scp 
scp-1399,Safe,,auditory document historical metamorphic safe scp sensory 
scp-14,Safe,,humanoid safe sapient scp sentient 
scp-140,Keter,site-65,autonomous daevite document historical k-class-scenario keter scp 
scp-1400,Euclid,,auditory co-authored cognitohazard euclid humanoid mind-affecting sapient scp sentient 
scp-1401,Euclid,,autonomous euclid extradimensional location scp vehicle 
scp-1402,Safe,,container document knowledge safe scp 
scp-1403,Safe,,alive animal electrical light piscine radioactive safe scp 
scp-1404,Safe,site-19,autonomous container ectoentropic food instrument mobile observational safe scp visual 
scp-1405,Euclid,,animal autonomous euclid event-featured reanimation scp sentient statue 
scp-1406,Safe,,building hallucination mind-affecting safe scp 
scp-1407,Euclid,,acoustic artifact electronic euclid parasitic rewritable scp self-replicating 
scp-1408,Safe,,clockwork memory-affecting professor-aw safe scp telepathic 
scp-1409,Safe,,acoustic aquatic auditory cetacean compulsion location recording safe scp sensory 
scp-141,Safe,site-65,document historical memory-affecting mind-affecting safe scp 
scp-1410,Euclid,,ectoentropic euclid liquid scp stone telepathic 
scp-1411,Euclid,,automaton electromagnetic entropic euclid extraterrestrial gravity location mechanical memory-affecting reclamation sapient scp sentient structure thermodynamic transmission 
scp-1412,Safe,,arboreal mobile plant safe scp 
scp-1413,Euclid,,euclid mind-affecting observational rewritable scp sport transmission 
scp-1414,Safe,,acoustic appliance auditory electronic rewrite safe scp transmission 
scp-1415,Safe,,clothing safe scp transfiguration 
scp-1416,Safe,,appliance hallucination knowledge liquid memory-affecting neurological safe scp sensory 
scp-1417,Safe,,document event-featured food indestructible metamorphic plant safe scp 
scp-1418,Safe,,engraved event-featured marshall-carter-and-dark safe scp tool transfiguration 
scp-1419,Euclid,,electronic euclid religious ritual scp transmission 
scp-142,Safe,,compulsion ectoentropic game mind-affecting safe scp tactile 
scp-1420,Euclid,,alive avian euclid ophidian reptilian scp sentient 
scp-1421,Euclid,,alive arboreal auditory electrical euclid hallucination humanoid meta mind-affecting plant sapient scp sentient telepathic transfiguration visual 
scp-1422,Neutralized // Phenomenon (see Addendum 1422-3),,location memory-affecting mind-affecting neutralized scp 
scp-1423,Safe,,addictive class-of-76 cognitohazard document media memory-affecting observational rewritable safe scp visual 
scp-1424,Safe,,animal canine chemical safe scp toxic 
scp-1425,Safe,,cognitohazard document fifthist k-class-scenario mind-affecting ontokinetic probability safe scp spacetime visual 
scp-1426,Safe,site-65,document engraved extraterrestrial musical safe scp teleportation tool 
